Name,Category,Description,Protein Content (%),Cost per KG,Target Age Start (days),Target Age End (days),Usage Instructions
Premium Chick Starter,starter,High-protein starter feed for day-old chicks,24.0,2.50,0,21,Feed ad-libitum 6 times daily. Ensure fresh water always available
Standard Starter Feed,starter,Complete starter nutrition for healthy growth,22.0,1.85,0,28,Provide 25-30g per chick daily. Feed in small frequent portions
Organic Starter Crumbles,starter,Certified organic starter feed with natural ingredients,23.5,3.20,0,35,Feed 4-5 times daily. No antibiotics or artificial additives
Broiler Grower Feed,grower,High-energy feed for rapid weight gain,20.0,1.65,28,49,Feed 100-150g per bird daily in 3 portions
Layer Grower Premium,grower,Specialized nutrition for future laying hens,18.5,1.45,35,70,Feed 110-130g per bird daily. Gradually increase portion size
Turkey Grower Special,grower,High-protein feed designed for growing turkeys,22.0,2.10,42,84,Feed 200-300g per bird daily. Monitor growth rate closely
Layer Finisher Feed,finisher,Pre-laying nutrition to prepare for egg production,16.5,1.35,70,120,Feed 120-140g per bird daily. Introduce calcium supplements
Broiler Finisher,finisher,Final phase feed for market-ready broilers,18.0,1.55,49,70,Feed 150-180g per bird daily until processing
Organic Layer Finisher,finisher,Organic finisher feed for cage-free layers,17.0,2.80,84,140,Feed 130-150g per bird daily. Supplement with greens
Duck Starter Special,specialist,Specialized starter feed for ducklings,20.0,2.25,0,21,Feed 30-40g per duckling daily. Provide in shallow feeders
Goose Grower Feed,specialist,Nutritionally balanced feed for growing geese,16.0,1.95,21,84,Feed 200-400g per bird daily. Allow access to pasture
Game Bird Finisher,specialist,High-energy feed for pheasants and quail,19.0,3.50,56,112,Feed 80-120g per bird daily depending on species
