Name,Email,Phone,Address,Contact Person,Rating,Certifications
Premium Feed Mills Ltd,sales@premiumfeeds.com,+1-555-0123,1245 Industrial Way Dallas TX 75201,Sarah Johnson,4.8,ISO 9001|HACCP|Non-GMO
AgriNutrition Corp,orders@agrinutrition.com,+1-555-0456,8976 Farm Road Atlanta GA 30301,Michael Chen,4.6,FDA Registered|Organic Certified|GMP
Countryside Feed Co,info@countrysidefeeds.com,+1-555-0789,567 Rural Route 12 Iowa City IA 52240,Emma Wilson,4.7,AAFCO Approved|State Licensed
Organic Valley Feeds,contact@organicvalley.com,+1-555-0321,2890 Green Acres Dr Portland OR 97201,David Martinez,4.9,USDA Organic|Non-GMO Project|Regenerative Organic
Superior Nutrition Systems,sales@superiorfeed.com,+1-555-0654,445 Tech Park Blvd Raleigh NC 27601,Jennifer Lee,4.5,ISO 22000|FSSC 22000|Kosher
Heritage Feed Company,orders@heritagefeed.com,+1-555-0987,178 Heritage Lane Nashville TN 37201,Robert Thompson,4.4,Family Owned|Local Sourced|Traditional Methods
Global Poultry Nutrition,info@globalpoultry.com,+1-555-0147,9932 Commerce St Houston TX 77001,Lisa Wang,4.6,International Shipping|Multi-Language|24/7 Support
BioFeed Technologies,tech@biofeedtech.com,+1-555-0258,1567 Innovation Dr Silicon Valley CA 94025,Dr. James Park,4.8,Research Based|Probiotic Enhanced|Precision Nutrition
Farm Fresh Feeds,hello@farmfreshfeeds.com,+1-555-0369,234 Barnyard Rd Wisconsin Rapids WI 54494,Mary O'Connor,4.3,Local Delivery|Fresh Daily|Custom Blends
Specialty Avian Nutrition,specialty@aviannutrition.com,+1-555-0741,876 Bird Way Phoenix AZ 85001,Carlos Rodriguez,4.7,Game Birds|Exotic Species|Veterinary Approved
